”N/ŒŽ, ŒŽŠÔ•½‹Ï‹C‰·
2011/1, 4.53
2011/2, 7.66
2011/3, 8.56
2011/4, 14.39
2011/5, 20.14
2011/6, 25.05
2011/7, 28.73
2011/8, 29.83
2011/9, 25.90
2011/10, 20.11
2011/11, 15.56
2011/12, 8.35
2012/1, 5.78
2012/2, 5.41
2012/3, 9.36
2012/4, 15.88
2012/5, 20.39
2012/6, 23.79
2012/7, 28.73
2012/8, 30.24
2012/9, 26.75
2012/10, 19.78
2012/11, 12.69
2012/12, 6.79
2013/1, 5.53
2013/2, 6.03
2013/3, 11.13
2013/4, 14.68
2013/5, 20.52
2013/6, 25.14
2013/7, 29.44
2013/8, 30.83
2013/9, 25.92
2013/10, 21.28
2013/11, 13.22
2013/12, 8.12
2014/1, 6.22
2014/2, 6.09
2014/3, 10.30
2014/4, 15.46
2014/5, 20.71
2014/6, 24.77
2014/7, 28.75
2014/8, 28.53
2014/9, 24.80
2014/10, 20.07
2014/11, 14.66
2014/12, 6.88
2015/1, 6.22
2015/2, 7.12
2015/3, 10.67
2015/4, 16.63
2015/5, 22.31
2015/6, 23.63
2015/7, 28.00
2015/8, 29.43
2015/9, 23.90
2015/10, 19.45
2015/11, 15.56
2015/12, 10.38
2016/1, 7.06
2016/2, 7.54
2016/3, 11.23
2016/4, 17.21
2016/5, 21.89
2016/6, 24.23
2016/7, 29.02
2016/8, 30.41
2016/9, 26.57
2016/10, 20.81
2016/11, 13.82
2016/12, 9.63
2017/1, 6.35
2017/2, 6.51
2017/3, 9.47
2017/4, 16.35
2017/5, 21.85
2017/6, 23.64
2017/7, 29.79
2017/8, 30.08
2017/9, 25.10
2017/10, 18.85
2017/11, 12.91
2017/12, 7.25
2018/1, 5.15
2018/2, 5.79
2018/3, 12.04
2018/4, 17.57
2018/5, 20.74
2018/6, 24.40
2018/7, 30.44
2018/8, 30.56
2018/9, 24.81
2018/10, 20.15
2018/11, 15.00
2018/12, 9.57
2019/1, 6.71
2019/2, 8.13
2019/3, 10.88
2019/4, 15.16
2019/5, 21.72
2019/6, 24.54
2019/7, 27.52
2019/8, 29.97
2019/9, 27.48
2019/10, 21.24
2019/11, 14.54
2019/12, 9.69
2020/1, 8.86
2020/2, 8.31
2020/3, 11.82
2020/4, 14.41
2020/5, 21.50
2020/6, 25.72
2020/7, 26.90
2020/8, 31.62
2020/9, 26.54
2020/10, 19.20
2020/11, 15.04
2020/12, 8.65
