月, 2011年, 2012年, 2013年, 2014年, 2015年, 2016年, 2017年, 2018年, 2019年, 2020年
1, 4.53, 5.78, 5.53, 6.22, 6.22, 7.06, 6.35, 5.15, 6.71, 8.86
2, 7.66, 5.41, 6.03, 6.09, 7.12, 7.54, 6.51, 5.79, 8.13, 8.31
3, 8.56, 9.36, 11.13, 10.30, 10.67, 11.23, 9.47, 12.04, 10.88, 11.82
4, 14.39, 15.88, 14.68, 15.46, 16.63, 17.21, 16.35, 17.57, 15.16, 14.41
5, 20.14, 20.39, 20.52, 20.71, 22.31, 21.89, 21.85, 20.74, 21.72, 21.50
6, 25.05, 23.79, 25.14, 24.77, 23.63, 24.23, 23.64, 24.40, 24.54, 25.72
7, 28.73, 28.73, 29.44, 28.75, 28.00, 29.02, 29.79, 30.44, 27.52, 26.90
8, 29.83, 30.24, 30.83, 28.53, 29.43, 30.41, 30.08, 30.56, 29.97, 31.62
9, 25.90, 26.75, 25.92, 24.80, 23.90, 26.57, 25.10, 24.81, 27.48, 26.54
10, 20.11, 19.78, 21.28, 20.07, 19.45, 20.81, 18.85, 20.15, 21.24, 19.20
11, 15.56, 12.69, 13.22, 14.66, 15.56, 13.82, 12.91, 15.00, 14.54, 15.04
12, 8.35, 6.79, 8.12, 6.88, 10.38, 9.63, 7.25, 9.57, 9.69, 8.65
